start_loci_dmr	end_loci_dmr	dmreads	start_loci_gene	end_loci_gene	gene_id	gene_name
91405402	91437190	92	91400993	91540509	ENSMUSG00000020963.14	Tshr
76335649	76356493	87	76347781	76369602	ENSMUSG00000056459.14	Zbtb25
8067900	8118675	85	7977647	8016835	ENSMUSG00000020609.14	Apob
75307977	75343953	83	75308321	75401456	ENSMUSG00000046768.13	Rhoj
84764965	84786890	77	84754559	84773112	ENSMUSG00000021242.8	Npc2
84764965	84786890	77	84773269	84775089	ENSMUSG00000021241.6	Isca2
84764965	84786890	77	84783211	84876532	ENSMUSG00000002020.15	Ltbp2
36108077	36127655	71	36091845	36156825	ENSMUSG00000020547.4	Bzw2
80531890	80550598	70	80518989	80603896	ENSMUSG00000021130.7	Galnt16
8984939	8997221	67	8973891	9028847	ENSMUSG00000066643.12	Wdr35
86390931	86401311	61	86361116	86521628	ENSMUSG00000021255.17	Esrrb
12216882	12254734	60	12262138	12376359	ENSMUSG00000020589.16	Cyria
105416293	105434146	60	105453855	105493095	ENSMUSG00000094910.1	D430019H16Rik
103804682	103855783	55	103817855	103822243	ENSMUSG00000090555.1	Gm8893
103804682	103855783	55	103853588	103863562	ENSMUSG00000066366.14	Serpina1a
70306234	70322644	52	70244538	70347614	ENSMUSG00000021071.15	Trim9
102628177	102637162	51	102568581	102704930	ENSMUSG00000057963.9	Itpk1
31972156	31988463	49	31958475	32061296	ENSMUSG00000002997.15	Prkar2b
51183504	51204856	49	51297486	51297960	ENSMUSG00000046620.4	Rps11-ps4
84027023	84036323	48	84038378	84044723	ENSMUSG00000052392.4	Acot4
36205488	36225251	47	36208344	36253398	ENSMUSG00000020545.11	Lrrc72
78222844	78232431	46	78226654	78684767	ENSMUSG00000047454.11	Gphn
81234830	81250280	46	81197914	81333180	ENSMUSG00000079055.10	Slc8a3
81234830	81250280	46	81228283	81243258	ENSMUSG00000098128.1	Gm3693
31550982	31559283	44	31519826	31559969	ENSMUSG00000020651.7	Slc26a4
105733158	105744608	44	105705981	105782447	ENSMUSG00000041323.5	Ak7
16653243	16665569	43	16653469	16660236	ENSMUSG00000020591.10	Ntsr2
45118627	45149708	43	45109006	45109137	ENSMUSG00000088852.1	Gm24731
110314378	110332943	43	110279067	110281097	ENSMUSG00000075707.5	Dio3
17658602	17683826	42	17690813	17791926	ENSMUSG00000071379.1	Hpcal1
59010763	59024338	42	58958382	59012017	ENSMUSG00000020986.13	Sec23a
59010763	59024338	42	59013392	59028470	ENSMUSG00000060121.15	Gemin2
110976812	110979227	42	110975352	110979040	ENSMUSG00000037904.14	Ankrd9
77209608	77225021	41	77238103	77476338	ENSMUSG00000021065.15	Fut8
88246645	88264340	41	88249665	88250100	ENSMUSG00000095799.1	Eif1ad10
40123433	40138248	40	40059768	40134228	ENSMUSG00000002565.16	Scin
107664639	107674134	40	107723739	107735496	ENSMUSG00000085641.1	4930465M20Rik
13664874	13693377	39	13752673	13753665	ENSMUSG00000097973.1	Gm4929
27243159	27273963	39	27334263	27342574	ENSMUSG00000063632.6	Sox11
40423758	40439877	39	40315045	40445790	ENSMUSG00000055917.14	Zfp277
70403805	70428006	39	70453094	70468040	ENSMUSG00000021072.12	Tmx1
77687784	77706284	39	77814679	77814809	ENSMUSG00000077707.1	Gm24070
86863284	86874595	39	86880702	86884814	ENSMUSG00000034168.6	Irf2bpl
87499871	87523485	39	87514315	87518266	ENSMUSG00000079034.2	Eif1ad8
14078106	14116715	38	14147598	14152038	ENSMUSG00000020607.6	Lratd1
75067743	75097463	38	74897216	75177332	ENSMUSG00000034402.2	Kcnh5
80624431	80632228	38	80622829	80622933	ENSMUSG00000089074.1	Gm23817
100805483	100824403	38	100779056	100896981	ENSMUSG00000021185.15	Dglucy
30320884	30353224	37	30174481	30373375	ENSMUSG00000020672.13	Sntg2
76775972	76782365	37	76765537	76783180	ENSMUSG00000090258.7	Churc1
